Timestamp,Temperature_Celsius,Relative_Humidity,Date,Season,Wind,ApparentTemperature
2021-02-13 12:00:00,20.0,49.0,2021-02-13 12:00:00,winter,0.15,22.1
2021-02-13 18:00:00,22.0,48.0,2021-02-13 18:00:00,winter,0.15,24.6
2021-02-14 00:00:00,21.0,46.0,2021-02-14 00:00:00,winter,0.15,23.1
2021-02-14 06:00:00,23.0,41.0,2021-02-14 06:00:00,winter,0.15,25.1
2021-02-14 12:00:00,21.0,49.0,2021-02-14 12:00:00,winter,0.15,23.4
2021-02-14 18:00:00,22.0,44.0,2021-02-14 18:00:00,winter,0.15,24.2
2021-02-15 00:00:00,22.0,46.0,2021-02-15 00:00:00,winter,0.15,24.4
2021-02-15 06:00:00,21.0,50.0,2021-02-15 06:00:00,winter,0.15,23.5
2021-02-15 12:00:00,22.0,45.0,2021-02-15 12:00:00,winter,0.15,24.3
2021-02-15 18:00:00,23.0,39.0,2021-02-15 18:00:00,winter,0.15,24.9
2021-02-16 00:00:00,21.0,33.0,2021-02-16 00:00:00,winter,0.15,21.9
2021-02-16 06:00:00,20.0,29.0,2021-02-16 06:00:00,winter,0.15,20.4
2021-02-16 12:00:00,21.0,29.0,2021-02-16 12:00:00,winter,0.15,21.5
2021-02-16 18:00:00,22.0,28.0,2021-02-16 18:00:00,winter,0.15,22.6
2021-02-17 00:00:00,23.0,28.0,2021-02-17 00:00:00,winter,0.15,23.8
2021-02-17 06:00:00,24.0,27.0,2021-02-17 06:00:00,winter,0.15,24.8
2021-02-17 12:00:00,25.0,27.0,2021-02-17 12:00:00,winter,0.15,26.0
2021-02-17 18:00:00,23.0,23.0,2021-02-17 18:00:00,winter,0.15,23.2
2021-02-18 00:00:00,20.0,22.0,2021-02-18 00:00:00,winter,0.15,19.7
2021-02-18 06:00:00,22.0,23.0,2021-02-18 06:00:00,winter,0.15,22.1
2021-02-18 12:00:00,22.0,28.0,2021-02-18 12:00:00,winter,0.15,22.6
2021-02-18 18:00:00,21.0,37.0,2021-02-18 18:00:00,winter,0.15,22.3
2021-02-19 00:00:00,20.0,39.0,2021-02-19 00:00:00,winter,0.15,21.2
2021-02-19 06:00:00,23.0,34.0,2021-02-19 06:00:00,winter,0.15,24.4
2021-02-19 12:00:00,22.0,32.0,2021-02-19 12:00:00,winter,0.15,23.0
2021-02-19 18:00:00,23.0,35.0,2021-02-19 18:00:00,winter,0.15,24.5
2021-02-20 00:00:00,22.0,37.0,2021-02-20 00:00:00,winter,0.15,23.5
2021-02-20 06:00:00,20.0,40.0,2021-02-20 06:00:00,winter,0.15,21.3
2021-02-20 12:00:00,21.0,49.0,2021-02-20 12:00:00,winter,0.15,23.4
2021-02-20 18:00:00,22.0,50.0,2021-02-20 18:00:00,winter,0.15,24.8
2021-02-21 00:00:00,22.0,47.0,2021-02-21 00:00:00,winter,0.15,24.5
2021-02-21 06:00:00,20.0,48.0,2021-02-21 06:00:00,winter,0.15,22.0
2021-02-21 12:00:00,21.0,51.0,2021-02-21 12:00:00,winter,0.15,23.6
2021-02-21 18:00:00,23.0,48.0,2021-02-21 18:00:00,winter,0.15,25.8
2021-02-22 00:00:00,21.0,44.0,2021-02-22 00:00:00,winter,0.15,22.9
2021-02-22 06:00:00,23.0,39.0,2021-02-22 06:00:00,winter,0.15,24.9
2021-02-22 12:00:00,24.0,39.0,2021-02-22 12:00:00,winter,0.15,26.2
2021-02-22 18:00:00,23.0,44.0,2021-02-22 18:00:00,winter,0.15,25.4
2021-02-23 00:00:00,22.0,47.0,2021-02-23 00:00:00,winter,0.15,24.5
2021-02-23 06:00:00,24.0,40.0,2021-02-23 06:00:00,winter,0.15,26.3
2021-02-23 12:00:00,24.0,38.0,2021-02-23 12:00:00,winter,0.15,26.0
2021-02-23 18:00:00,22.0,40.0,2021-02-23 18:00:00,winter,0.15,23.8
2021-02-24 00:00:00,20.0,41.0,2021-02-24 00:00:00,winter,0.15,21.4
2021-02-24 06:00:00,20.0,39.0,2021-02-24 06:00:00,winter,0.15,21.2
2021-02-24 12:00:00,20.0,30.0,2021-02-24 12:00:00,winter,0.15,20.4
2021-02-24 18:00:00,23.0,25.0,2021-02-24 18:00:00,winter,0.15,23.4
2021-02-25 00:00:00,21.0,28.0,2021-02-25 00:00:00,winter,0.15,21.4
2021-02-25 06:00:00,22.0,30.0,2021-02-25 06:00:00,winter,0.15,22.8
2021-02-25 12:00:00,21.0,35.0,2021-02-25 12:00:00,winter,0.15,22.1
